#genome	scope	assembly_level	total_length	gc	proteins	protein_length	coding_density	completeness	contamination	strain_heterogeneity	16s_copies
G001426755	Multispecies	Scaffold	3575694	70.43	3521	1120976	92.36360829534071	99.74	1.21	0.0	1
G001426925	Multispecies	Contig	2910897	71.88	2756	903921	91.49468359753024	99.49	0.0	0.0	1
G001426945	Multispecies	Scaffold	4741043	64.01	4544	1434880	89.16772111115634	99.05	0.0	0.0	2
G001426965	Multispecies	Scaffold	3750538	63.03	3624	1149470	90.2950456707811	99.59	2.06	0.0	1
G001427085	Multispecies	Scaffold	4801179	65.83	4491	1492306	91.5793183299352	99.93	2.41	20.0	1
G001427145	Multispecies	Scaffold	3460379	69.79	3167	1091966	92.98322524787025	100.0	0.51	0.0	1
G001427225	Multispecies	Contig	3441323	65.27	3097	1037036	88.7896602556633	99.89	1.38	0.0	1
G001427385	Multispecies	Scaffold	4193379	61.5	4095	1252502	87.99371580770543	99.1	0.79	25.0	1
G001427525	Multispecies	Contig	4022601	68.68	3729	1270032	93.02883880355024	98.99	2.02	0.0	1
G001427625	Multispecies	Scaffold	5804683	59.36	5569	1740693	88.34875220576214	100.0	2.66	0.0	1
G001427705	Multispecies	Scaffold	5812563	67.79	5278	1827881	92.66222146753506	100.0	1.17	0.0	1
G001427795	Multispecies	Scaffold	5214697	69.35	4913	1662346	93.92915830008916	99.22	0.78	0.0	1
G001427825	Multispecies	Contig	2789653	68.97	2757	861646	90.99615615275448	100.0	0.16	0.0	1
G001427865	Multispecies	Contig	3692460	63.9	3570	1136170	90.65793536016639	99.54	0.95	0.0	1
G001427875	Multispecies	Scaffold	4397626	61.54	4115	1336570	89.54854278194644	99.32	0.04	0.0	1
G001427915	Multispecies	Scaffold	4163945	71.36	3895	1297488	91.8126680347603	99.46	0.0	0.0	1
G001427925	Multispecies	Scaffold	4984412	69.61	4797	1567510	92.65833161464181	99.22	0.69	0.0	1
G001427985	Environment	Contig	3605744	69.89	3351	1131477	92.46197178723725	100.0	0.54	0.0	1
G001428025	Environment	Scaffold	3974301	71.92	3734	1234975	91.55557165901627	100.0	0.0	0.0	1
G001428065	Environment	Scaffold	3470999	73.31	3235	1071630	90.96675049459823	100.0	0.18	0.0	1
G001428125	Environment	Contig	3845859	72.06	3719	1219216	93.40467240218635	100.0	0.0	0.0	1
G001428255	Environment	Contig	4827303	69.97	4547	1491040	91.00590951096295	99.78	1.43	25.0	1
G001428305	Environment	Contig	3637840	69.93	3460	1148712	93.03707694675961	99.82	0.18	0.0	1
G001428365	Environment	Scaffold	3540433	68.94	3245	1081310	89.98746763460854	99.71	0.0	0.0	1
G001428405	Environment	Scaffold	4548162	68.96	3874	1353231	87.67260269093318	99.59	1.79	0.0	1
G001428435	Environment	Scaffold	3422365	63.4	3249	1061243	91.36322396938958	99.54	0.69	0.0	1
G001428485	Multispecies	Scaffold	3347721	70.0	3102	1052182	92.60789653618087	99.49	0.51	0.0	1
G001428505	Multispecies	Contig	4939208	71.43	4556	1519792	90.66311845947772	100.0	0.45	0.0	1
G001428545	Multispecies	Scaffold	6147767	56.8	5752	1815354	86.99749030826965	99.92	1.39	0.0	1
G001428565	Multispecies	Scaffold	5014917	70.27	4761	1580278	92.84773805827695	99.22	0.95	0.0	1
G001428645	Multispecies	Scaffold	6756331	66.92	6240	2066913	90.13776856107258	99.43	0.4	0.0	1
G001428745	Multispecies	Contig	4067614	68.52	3855	1275370	92.38236469832192	99.24	0.32	0.0	1
G001428765	Multispecies	Scaffold	5139111	71.48	4835	1625076	93.17306047680232	99.22	0.0	0.0	1
G001428805	Multispecies	Contig	3919167	69.01	3923	1246213	93.68480598045453	99.48	1.21	0.0	1
G001428865	Multispecies	Scaffold	4212502	66.02	3830	1305548	91.32052637601122	99.61	1.19	0.0	1
G001428895	Multispecies	Scaffold	6672097	67.2	6469	2115640	93.42651942859943	99.67	1.06	0.0	1
G001429025	Multispecies	Scaffold	4578346	67.42	4382	1405754	90.46341189591176	99.4	1.89	0.0	1
G001429255	Multispecies	Scaffold	4247614	72.52	3925	1342413	93.12011402166016	100.0	0.0	0.0	1
G001429315	Multispecies	Scaffold	4415595	68.43	3930	1297557	86.58151392960632	100.0	1.14	0.0	1
G001429395	Multispecies	Scaffold	5690728	66.74	5328	1707463	88.40064048044468	99.37	0.42	0.0	1
G001429505	Multispecies	Scaffold	6609529	66.41	6216	2007889	89.50404786785866	98.43	0.94	0.0	1
G001429555	Environment	Contig	4386361	68.3	4229	1364988	91.68588723089596	99.22	1.21	0.0	1
G001429625	Environment	Scaffold	4407722	72.2	4226	1380323	92.26875016164813	98.96	0.17	0.0	1
G001429685	Environment	Scaffold	4469718	70.53	4125	1380968	91.03312557973456	100.0	0.0	0.0	1
G001429705	Environment	Scaffold	2591554	71.9	2436	816461	92.82777823653299	99.44	0.0	0.0	0
G001429805	Multispecies	Scaffold	7494243	71.47	6768	2246216	88.31282892748473	100.0	0.53	0.0	0
G001429825	Environment	Scaffold	5803427	37.58	5942	1625379	82.49579084909658	99.43	0.18	0.0	0
G001430705	Environment	Contig	1201385	36.36	1106	324746	79.62859532955714	96.85	0.45	0.0	1
G001430755	Environment	Complete Genome	1248026	58.48	1102	381006	89.95028949717394	79.08	2.47	0.0	1
G001430805	Environment	Complete Genome	1248181	58.48	1104	381292	90.00665768826796	79.08	2.47	0.0	1
G001430825	Monoisolate	Complete Genome	3569807	39.4	3189	1092984	90.21748234568423	99.67	0.42	0.0	3
G001430845	Environment	Complete Genome	1248112	58.48	1102	381125	89.97221403207405	79.08	2.47	0.0	1
G001430885	Environment	Complete Genome	1247854	58.48	1101	380931	89.94513781259667	79.08	2.47	0.0	1
G001430905	Environment	Complete Genome	1248180	58.48	1105	381079	89.9564966591357	79.08	2.47	0.0	1
G001431195	Environment	Scaffold	5002729	37.37	4652	1381781	81.36742965689326	93.92	4.67	0.0	1
G001431315	Multispecies	Contig	2990285	37.92	2590	902329	88.91493620173327	98.26	1.16	0.0	1
G001431365	Multiisolate	Contig	3775942	36.9	3374	1148548	89.626058874845	99.43	0.51	0.0	1
G001431405	Monoisolate	Contig	3553658	64.48	3148	1086839	90.11376446467274	99.59	0.41	0.0	1
G001431485	Monoisolate	Contig	3374112	65.89	3077	1026777	89.66279127663812	98.72	0.76	66.67	1
G001431505	Monoisolate	Contig	3284859	68.56	2939	995434	89.29077321127026	99.59	0.86	33.33	1
G001431525	Monoisolate	Contig	3029904	66.11	2788	925956	90.04473409058504	98.16	0.79	50.0	1
G001431535	Monoisolate	Contig	3967734	66.84	3503	1206308	89.58367672832907	98.75	0.04	0.0	1
G001431645	Monoisolate	Contig	3923155	68.84	3533	1214851	91.24373112966478	97.59	0.34	25.0	1
G001431705	Monoisolate	Contig	1995738	44.48	1968	628141	92.73141063606546	97.71	1.03	0.0	1
G001431725	Monoisolate	Complete Genome	4757486	58.53	4153	1432026	88.69419689306494	99.57	0.65	0.0	4
G001432185	Monoisolate	Scaffold	3723955	40.08	3367	1109199	87.76177477977043	99.93	0.22	0.0	0
G001432245	Multiisolate	Complete Genome	2822193	33.07	2674	802922	83.81173789319158	99.44	0.0	0.0	7
G001432305	Monoisolate	Scaffold	3632663	65.5	3437	1131522	91.77680395896894	99.38	0.0	0.0	3
G001433395	Monoisolate	Chromosome	6989698	64.81	6019	2154895	90.847015135704	100.0	0.0	0.0	3
G001433455	Multiisolate	Complete Genome	2388527	41.84	2657	745515	91.93800195685458	99.5	0.5	100.0	1
G001433475	Monoisolate	Complete Genome	2335107	52.19	2135	701069	88.45894427964114	99.56	0.0	0.0	4
G001433765	Multispecies	Scaffold	2705076	42.86	2627	785088	85.49915048597525	99.18	1.36	0.0	1
G001433915	Multispecies	Contig	1868110	38.51	1797	563425	88.85483188891446	98.38	0.0	0.0	1
G001433995	Multispecies	Contig	2593269	46.59	2537	772953	87.80990325338405	99.06	0.94	0.0	1
G001434065	Multispecies	Contig	1910253	41.07	1908	574530	88.60339441948265	99.46	0.0	0.0	1
G001434225	Multispecies	Scaffold	2498521	36.69	2439	743238	87.63468467945637	99.48	0.13	0.0	1
G001434255	Multispecies	Scaffold	3261379	40.0	3078	919759	83.08040862469525	98.94	0.62	0.0	1
G001434275	Multispecies	Scaffold	2336411	38.21	2238	681744	85.96030407321315	99.48	1.57	42.86	1
G001434295	Multispecies	Contig	2373204	38.27	2343	714472	88.69174331410194	99.48	0.59	0.0	1
G001434315	Multispecies	Scaffold	1832229	35.57	1787	554897	89.22263538018447	98.91	0.0	0.0	1
G001434335	Multispecies	Scaffold	2078190	36.1	1976	630694	89.41246950471323	99.03	0.32	0.0	1
G001434365	Multispecies	Scaffold	1848461	41.64	1855	569087	90.6996144360092	99.18	0.27	0.0	1
G001434395	Multispecies	Scaffold	2815465	49.38	2615	792101	82.88403514161959	99.06	0.09	0.0	1
G001434475	Multispecies	Contig	2651315	38.98	2537	778716	86.52879797383562	99.46	0.27	0.0	1
G001434535	Multispecies	Scaffold	1880186	41.07	1842	561468	87.973636650842	99.3	0.0	0.0	1
G001434555	Multispecies	Scaffold	1548566	43.59	1560	464885	88.43801297458423	98.43	1.05	0.0	1
G001434575	Multispecies	Scaffold	3133992	44.29	3106	926927	87.12983313294993	99.46	0.54	0.0	1
G001434665	Multispecies	Scaffold	2173857	34.07	2124	655960	88.89416369153996	99.48	1.64	0.0	1
G001434695	Multispecies	Contig	1590323	36.03	1546	483906	89.64726033642222	98.69	0.17	0.0	1
G001434705	Multispecies	Scaffold	2280237	57.02	2154	692831	89.51845794976575	98.95	0.26	0.0	1
G001434745	Multispecies	Scaffold	2336325	35.4	2252	707154	89.16978588167314	99.48	0.52	0.0	1
G001434815	Multispecies	Scaffold	2052598	47.71	1958	609836	87.53048575512594	98.94	0.33	0.0	0
G001434835	Multispecies	Scaffold	2918319	51.6	2750	847328	85.53958631664325	99.38	1.25	0.0	1
G001434845	Multispecies	Scaffold	2298009	34.77	2299	674247	86.42955706439793	99.21	0.1	0.0	1
G001434895	Multispecies	Scaffold	2751938	44.24	2432	796290	85.25577247743227	99.06	1.41	0.0	1
G001434915	Multispecies	Scaffold	2232918	37.63	2128	651059	85.89639207530236	99.48	0.0	0.0	1
G001434935	Multispecies	Scaffold	2686405	36.88	2629	771938	84.64620933924706	99.48	0.52	0.0	1
G001435035	Multispecies	Scaffold	3125880	47.7	3184	907741	85.54119160044532	99.48	1.05	0.0	1
G001435065	Multispecies	Scaffold	2122254	41.78	2032	630311	87.50074213548426	98.91	0.0	0.0	1
G001435095	Multispecies	Scaffold	2749197	55.92	2479	777516	83.32167538375751	99.02	0.62	0.0	1
G001435155	Multispecies	Scaffold	2541966	52.89	2319	714606	82.82058060572014	98.95	1.57	0.0	1
G001435195	Multispecies	Scaffold	2639652	39.94	2463	761031	84.9369916943597	99.48	0.52	0.0	1
G001435235	Multispecies	Scaffold	2605329	37.09	2431	769064	86.9690929629233	99.48	1.35	0.0	1
G001435295	Monoisolate	Chromosome	3514998	42.76	2863	985599	82.62072979842378	100.0	0.27	0.0	6
G001435325	Multispecies	Scaffold	2009795	35.35	1876	609812	89.39822220674249	98.94	0.0	0.0	1
G001435345	Multispecies	Scaffold	1667627	53.45	1641	494921	87.43753849032187	98.37	0.0	0.0	1
G001435445	Multispecies	Scaffold	2746576	35.12	2636	829410	88.96684453661578	99.48	2.09	0.0	1
G001435475	Multispecies	Contig	2241837	51.11	2134	668846	87.90277794505131	99.37	0.0	0.0	1
G001435585	Multispecies	Contig	3309179	49.08	3210	1004941	89.46923088778213	99.48	0.52	0.0	1
G001435695	Multispecies	Scaffold	1541412	35.64	1372	479600	91.68145829927366	97.11	0.0	0.0	1
G001435835	Multispecies	Scaffold	1898108	43.3	1791	543988	84.43176046884582	98.43	0.52	0.0	1
G001435935	Multispecies	Scaffold	2006512	48.08	1947	595312	87.40899630802107	99.46	2.17	20.0	1
G001435995	Multispecies	Scaffold	1479955	31.92	1460	452952	90.16774158673744	97.45	1.25	0.0	1
G001436045	Multispecies	Scaffold	1733578	42.55	1688	521884	88.69321138131656	99.46	0.0	0.0	1
G001436095	Multispecies	Scaffold	1807288	38.05	1735	537038	87.54288193138005	99.35	2.09	0.0	1
G001436115	Multispecies	Contig	1929842	47.48	1904	592183	90.40501761284084	99.48	0.0	0.0	1
G001436125	Multispecies	Scaffold	1926334	35.15	1897	592330	90.59254521801515	96.68	0.48	0.0	1
G001436135	Multispecies	Scaffold	2060676	53.5	1904	601851	86.05035434973766	98.95	1.05	0.0	1
G001436215	Multispecies	Scaffold	2058058	41.74	2059	622163	89.05958918553316	98.69	0.26	0.0	1
G001436225	Multispecies	Scaffold	2444304	53.4	2356	714172	86.07640457160811	97.38	0.52	0.0	1
G001436255	Multispecies	Scaffold	2854844	42.95	2672	829649	85.61805828969989	98.94	0.21	0.0	1
G001436275	Multispecies	Scaffold	2117633	37.32	2007	605606	84.24986765884363	99.48	0.0	0.0	1
G001436295	Multispecies	Scaffold	2559201	43.49	2475	760473	87.54353409521175	99.46	0.82	0.0	1
G001436315	Multispecies	Scaffold	1680526	40.12	1596	510781	89.54660624114116	99.48	1.57	0.0	1
G001436325	Multispecies	Scaffold	3136715	53.09	3107	951775	89.39320276148773	99.21	1.05	0.0	1
G001436385	Multispecies	Contig	2881963	46.5	2854	836345	85.49131269207828	99.46	0.0	0.0	1
G001436395	Multispecies	Contig	2054664	41.03	2059	615036	88.18317739542816	98.7	0.31	0.0	1
G001436415	Multispecies	Scaffold	1834154	40.26	1798	550134	88.36597145059794	99.18	0.27	0.0	1
G001436455	Multispecies	Scaffold	1610627	34.33	1521	497363	90.9841943541242	98.83	0.0	0.0	1
G001436475	Multispecies	Contig	2008484	43.39	1915	578407	84.83727029938998	98.95	0.0	0.0	1
G001436505	Multispecies	Scaffold	2269330	40.67	2257	674874	87.6090740438808	99.18	1.09	0.0	1
G001436555	Multispecies	Scaffold	1566789	39.08	1569	475644	89.43712267574	98.75	0.31	0.0	1
G001436575	Multispecies	Contig	1906034	36.9	1913	577900	89.32112438707809	98.38	0.32	0.0	1
G001436595	Multispecies	Scaffold	3476170	46.98	3196	970390	82.24008031828133	99.38	2.5	0.0	1
G001436605	Multispecies	Scaffold	1289346	34.53	1264	398969	91.16133295484687	97.38	0.26	0.0	1
G001436645	Multispecies	Contig	1348606	41.14	1345	410502	89.67504222879032	97.5	0.0	0.0	1
G001436705	Multispecies	Scaffold	2459509	38.47	2274	705312	84.48344771253124	99.48	0.52	0.0	1
G001436735	Multispecies	Scaffold	1919106	33.87	1831	574339	88.17011671059338	99.48	0.0	0.0	1
G001436755	Multispecies	Scaffold	2407726	37.4	2236	696147	85.18016584943635	98.95	0.0	0.0	1
G001436775	Multispecies	Scaffold	1585076	36.26	1559	479481	89.11503297002794	98.38	0.87	0.0	1
G001436835	Multispecies	Scaffold	1900053	52.42	1892	561582	87.07115012054926	98.63	0.55	100.0	1
G001436865	Multispecies	Scaffold	1366073	43.06	1331	415509	89.61087731036336	99.33	0.0	0.0	1
G001436895	Multispecies	Scaffold	2218304	44.73	2118	668135	88.73657532962119	99.08	0.61	0.0	1
G001437015	Multispecies	Scaffold	1719821	48.68	1599	526527	90.20299205556857	100.0	0.0	0.0	2
G001437055	Multispecies	Scaffold	1646143	47.72	1511	498102	89.15367619945533	98.91	0.27	0.0	1
G001437075	Multispecies	Contig	1837953	38.11	1837	551950	88.4666800511221	99.38	1.54	0.0	1
G001437125	Multispecies	Scaffold	2362603	49.08	2285	675843	84.26807212214663	99.38	0.21	0.0	1
G001437205	Multispecies	Contig	2086969	46.45	2081	631056	89.0784673849971	98.95	0.1	0.0	1
G001437235	Multispecies	Scaffold	2126433	49.99	2049	625829	86.70604716913253	99.18	0.56	0.0	1
G001437355	Multispecies	Scaffold	1537173	41.09	1516	466554	89.41413881196196	99.23	0.0	0.0	1
G001437405	Multispecies	Contig	2260906	37.18	2163	661701	86.22207203660834	99.38	0.0	0.0	1
G001437425	Multispecies	Scaffold	1768499	39.28	1801	535245	89.15577560405745	99.39	0.12	0.0	1
G001437435	Multispecies	Scaffold	2070447	44.08	2027	603579	85.87638321579833	99.46	0.54	0.0	1
G001437585	Multispecies	Scaffold	2057128	64.69	1781	609951	87.36602681019363	99.19	0.0	0.0	1
G001437605	Multispecies	Scaffold	1764961	36.67	1806	535901	89.44463928664713	99.23	0.62	0.0	1
G001437625	Environment	Contig	1270387	31.01	1698	389381	90.25100225364396	99.51	0.97	100.0	1
G001437635	Environment	Contig	1001092	47.05	1302	325126	95.64415658101353	69.94	3.46	15.38	0
G001437665	Environment	Contig	1091054	44.31	1491	351314	94.81208079526769	58.87	4.82	88.46	1
G001437675	Environment	Contig	1450272	39.92	1804	473101	96.0798388164427	70.57	3.85	33.33	0
G001437695	Environment	Contig	1043961	44.28	1416	335710	94.694916764132	58.46	4.87	81.82	1
G001437715	Environment	Contig	1121591	51.74	1393	360737	94.72356679038973	87.99	3.12	50.0	0
G001437755	Environment	Contig	924837	40.82	1157	298996	95.21472432439447	72.68	2.7	40.0	0
G001437825	Environment	Contig	1672064	50.43	2192	543239	95.67408903008497	81.71	4.32	33.33	1
G001437845	Environment	Contig	1101056	44.37	1386	354733	94.88563706114857	72.45	4.85	44.44	1
G001437855	Environment	Contig	1127841	41.04	1342	364352	95.1485182751824	76.9	2.11	25.0	0
G001437905	Environment	Contig	1121384	41.09	1332	362350	95.17738794204304	74.84	3.15	50.0	0
G001437955	Environment	Contig	1208227	33.1	1426	393588	95.95440260811917	76.52	3.94	81.25	0
G001437985	Environment	Contig	1159044	32.66	1403	378941	96.29634422851937	77.56	0.56	33.33	0
G001438005	Environment	Contig	1601779	55.97	1907	512829	94.29933842309083	85.0	1.35	100.0	1
G001438015	Environment	Contig	1459716	58.31	1701	475640	95.98209514727523	87.06	0.73	33.33	0
G001438045	Environment	Contig	2112289	50.53	2549	652750	91.01126787101576	70.84	2.14	18.18	0
G001438085	Environment	Contig	1907425	45.98	2289	591138	91.27420475248044	82.89	1.07	40.0	0
G001438125	Environment	Contig	1915951	44.13	1802	608145	93.52676555924447	93.58	1.08	14.29	0
G001438175	Environment	Contig	1723929	49.01	1568	561871	96.04380458824	95.43	0.0	0.0	0
G001438225	Environment	Contig	1638910	39.05	1813	523788	94.14751267610791	87.92	1.29	16.67	0
G001438235	Environment	Contig	2763624	50.51	3094	847592	90.338229802607	91.15	3.03	44.44	1
G001438245	Environment	Contig	1498937	38.69	1817	478265	93.97759879167702	77.99	3.53	27.78	0
G001438265	Environment	Contig	2799617	47.35	2944	894578	94.13616219647187	91.94	0.74	50.0	0
G001438305	Environment	Contig	1746953	48.99	1652	568636	95.91397135469586	98.39	0.83	16.67	1
G001438315	Environment	Contig	1139720	44.25	1559	365904	94.54111536166778	58.83	3.1	83.33	0
G001438385	Environment	Contig	1086213	38.64	1311	353553	95.86959463751585	88.7	3.3	8.33	0
G001438395	Environment	Contig	1080997	40.94	1314	349057	95.10581435471144	75.62	2.18	66.67	0
G001438425	Environment	Contig	1264266	40.12	1456	414321	96.53601378190983	67.65	0.95	50.0	0
G001438485	Environment	Contig	1029940	40.06	1157	337540	96.54183738858573	72.03	1.44	33.33	1
G001438495	Environment	Contig	1495089	39.97	1690	486240	95.80145396026592	81.61	1.44	66.67	1
G001438585	Environment	Contig	1469346	40.05	1649	478670	95.96493950369756	81.75	1.98	0.0	1
G001438605	Environment	Contig	2527476	51.08	2400	776652	90.5366460453037	97.78	0.0	0.0	1
G001438655	Multispecies	Contig	2038400	39.04	1960	605261	87.4774332810047	99.38	0.0	0.0	1
G001438695	Multispecies	Scaffold	1484857	44.56	1546	451668	89.6058004238792	98.52	0.0	0.0	1
G001438705	Multispecies	Scaffold	1334438	39.67	1271	393088	86.7832750566156	97.12	0.0	0.0	1
G001438725	Multispecies	Contig	2114096	38.61	2109	624459	87.01591602273501	99.38	0.02	0.0	1
G001438805	Multispecies	Contig	2698724	35.48	2600	800635	87.40130520942489	99.48	1.57	42.86	1
G001438845	Multispecies	Scaffold	2989578	45.1	2812	858728	84.62277953610844	99.02	2.47	0.0	1
G001438885	Multispecies	Scaffold	1629936	49.26	1482	494809	89.44676355390642	100.0	0.0	0.0	1
G001438895	Environment	Contig	740497	32.76	1020	231864	92.19375635552879	66.42	0.0	0.0	1
G001438925	Environment	Contig	1214420	47.17	1427	391821	95.03351394081125	83.48	2.02	20.0	1
G001438965	Environment	Contig	1262816	55.73	1369	402093	93.79988850315485	84.09	0.0	0.0	0
G001438985	Environment	Contig	1352430	52.19	1606	442469	96.36454382112198	76.96	0.85	100.0	0
G001439005	Environment	Contig	1543409	52.42	1943	503795	96.13491951906462	84.75	7.19	53.85	0
G001439025	Environment	Contig	1156631	44.27	1525	372949	94.95500293524901	73.04	4.57	69.23	0
G001439035	Environment	Contig	979010	44.35	1251	316948	95.3444806488187	67.27	1.63	83.33	0
G001439085	Environment	Contig	594391	40.92	818	192555	95.39023975800441	48.02	1.97	20.0	0
G001439105	Environment	Contig	1209326	32.79	1420	394862	96.18126129761536	80.92	2.83	62.5	0
G001439115	Environment	Contig	2473267	47.08	2862	790033	94.09158008415591	75.77	4.04	61.54	0
G001439135	Environment	Contig	2834045	50.47	3249	866845	90.08801906815171	87.86	6.26	57.5	1
G001439205	Environment	Contig	1480518	30.0	1632	479466	95.4030954030954	87.13	2.94	25.0	0
G001439215	Environment	Contig	2086531	38.32	1987	659887	93.18524383294569	93.65	0.66	0.0	0
G001439225	Environment	Contig	1219432	41.15	1510	393437	95.02448681025264	75.62	5.08	60.0	0
G001439285	Environment	Contig	1030921	40.34	1112	339285	96.95311279913786	57.91	0.0	0.0	0
G001439295	Environment	Contig	1997685	51.62	2292	625140	92.17534295947559	87.88	1.84	40.0	0
G001439315	Environment	Contig	2408986	32.07	2376	743777	90.96354233690026	91.77	1.24	28.57	0
G001439355	Environment	Contig	994061	44.3	1373	320306	94.87506299915196	54.8	6.53	71.43	1
G001439525	Environment	Contig	1495089	39.97	1690	486240	95.80145396026592	81.61	1.44	66.67	1
G001439535	Environment	Contig	2980252	53.07	2980	900583	89.02129752786006	97.3	4.05	44.44	0
G001439585	Monoisolate	Complete Genome	3664835	44.84	3666	1040563	83.63672580075229	96.89	1.39	0.0	11
G001439625	Monoisolate	Scaffold	4898412	36.8	4674	1378746	82.91564694843962	97.27	1.31	9.09	1
G001439635	Monoisolate	Scaffold	4782966	36.9	4858	1353553	83.35769060453285	98.68	0.55	0.0	1
G001439665	Multiisolate	Contig	4292461	33.4	3673	1313575	90.17442441527133	98.35	1.48	0.0	1
G001439915	Monoisolate	Scaffold	4836444	38.21	4842	1381248	84.12720172093381	97.89	3.05	0.0	0
G001439965	Monoisolate	Scaffold	5308781	34.69	5329	1492879	82.83364862856463	98.3	1.97	0.0	1
G001440405	Monoisolate	Scaffold	8845258	61.92	8740	2504156	83.3960411330003	98.05	1.74	0.0	1
G001440465	Monoisolate	Contig	3881667	46.41	3749	1177828	89.39584462036542	99.79	0.0	0.0	0
G001440475	Monoisolate	Scaffold	8817291	62.63	8553	2548873	85.16064628013298	99.54	0.58	0.0	1
G001440545	Monoisolate	Contig	2419359	33.19	2437	743986	90.59424417790002	99.19	0.81	0.0	1
G001441165	Monoisolate	Complete Genome	3651382	68.77	3303	1110660	89.62480507380494	100.0	0.0	0.0	4
G001441535	Multispecies	Contig	2902267	64.69	2844	904018	91.77222495380335	99.57	0.22	0.0	1
G001441615	Monoisolate	Contig	4578348	63.58	4521	1394788	89.75228619580687	99.45	1.36	0.0	1
G001441635	Monoisolate	Contig	6063628	64.38	5899	1862800	90.50789395391669	99.1	2.1	0.0	1
G001442515	Multispecies	Chromosome	6157384	69.91	4935	1769372	84.67760009770383	99.91	1.87	0.0	2
G001442535	Multispecies	Complete Genome	5765176	66.82	4683	1646278	84.14412673611352	99.91	1.87	0.0	3
G001442615	Monoisolate	Contig	6131579	41.94	5247	1833377	88.10541297763595	98.31	0.5	0.0	1
G001442625	Monoisolate	Contig	6517553	38.68	5462	1936966	87.57378727875323	97.61	0.96	50.0	1
G001442785	Multispecies	Complete Genome	6391889	66.62	5192	1812765	83.56698622269568	99.8	1.8	0.0	2
G001442845	Monoisolate	Contig	1602245	36.6	1652	510235	93.81730010079607	67.82	1.68	0.0	1
G001442855	Environment	Scaffold	2423295	38.55	2271	789288	95.97197204632536	96.16	2.73	0.0	1
G001442925	Monoisolate	Contig	2592687	37.37	2306	831361	94.48896068056037	95.61	1.91	0.0	1
G001442935	Monoisolate	Scaffold	2084925	37.37	2085	669496	94.60887082269146	69.65	2.73	20.0	1
G001443005	Environment	Contig	1815427	44.63	1839	591984	96.07541366301152	100.0	0.0	0.0	1
G001443365	Environment	Scaffold	1358434	34.42	1653	415833	90.15034959372336	99.03	0.0	0.0	1
G001443445	Environment	Scaffold	2479665	40.27	2429	706528	83.93440242936042	87.2	5.28	0.0	1
G001443455	Environment	Scaffold	2177275	63.49	2128	657677	88.98967746380222	78.99	0.84	0.0	1
G001443525	Environment	Contig	4091572	49.94	3690	1244485	89.61846449237603	97.1	0.65	0.0	0
G001443565	Environment	Contig	3046979	47.51	2658	794861	76.85153064724108	98.29	0.43	0.0	0
G001443605	Monoisolate	Complete Genome	4812386	39.03	3904	1445791	88.534668665398	99.52	1.43	0.0	3
G001443675	Multispecies	Scaffold	3510797	58.87	3458	1064385	89.31869316283453	93.61	1.05	0.0	1
G001444365	Monoisolate	Complete Genome	4337945	39.4	3666	1222911	83.06391620917277	100.0	0.73	0.0	9
G001444405	Monoisolate	Complete Genome	4868993	40.58	4217	1461503	88.44923375326273	99.66	1.01	20.0	9
G001444425	Monoisolate	Complete Genome	3345119	54.0	3062	1063409	93.67254199327438	97.78	0.62	0.0	2
G001444445	Environment	Complete Genome	2861432	46.47	2513	854523	87.99461248773342	98.65	0.0	0.0	3
G001446935	Multispecies	Contig	4522705	56.69	4152	1387035	90.36320078360185	99.0	0.62	0.0	1
G001447195	Monoisolate	Contig	4592999	65.29	4507	1405330	90.14489225884874	99.26	0.0	0.0	1
G001447295	Monoisolate	Complete Genome	2337845	52.18	2131	701197	88.3717697281043	99.56	0.0	0.0	4
G001447335	Monoisolate	Complete Genome	4400034	61.49	4296	1327238	88.8652451321967	100.0	0.27	0.0	9
G001447355	Monoisolate	Contig	2809442	53.98	2833	859290	90.10629156964266	98.43	0.0	0.0	0
G001447805	Multispecies	Complete Genome	3763866	59.19	3475	1153340	90.28735348176582	99.63	2.05	0.0	1
G001447995	SingleCell	Contig	4434543	35.95	3795	1383556	91.93799676764888	99.67	0.33	0.0	2
G001449105	Monoisolate	Contig	5322177	69.39	4793	1617508	89.54888197066727	99.68	0.65	0.0	1
G001449115	Monoisolate	Scaffold	5345702	57.3	4440	1619568	89.27978027955916	99.78	0.86	0.0	1
G001454945	Monoisolate	Complete Genome	3376475	59.06	3178	1008624	88.00980312307955	98.66	0.0	0.0	2
G001455205	Monoisolate	Complete Genome	3307820	44.48	3123	969770	86.37114474185415	99.84	1.2	75.0	1
G001455825	SingleCell	Contig	942394	47.86	1087	278088	86.90791749523024	46.5	2.48	0.0	1
G001456065	Monoisolate	Complete Genome	4627894	28.74	4101	1321019	84.10382778862264	99.19	0.0	0.0	11
G001456175	Monoisolate	Complete Genome	2337920	52.18	2117	701312	88.38356316725978	99.56	0.0	0.0	4
G001456215	Monoisolate	Complete Genome	2709797	32.89	2512	770698	83.78742023849018	93.89	0.22	0.0	5
G001456895	Monoisolate	Contig	3252807	46.77	3343	991417	89.78832743535045	99.34	0.0	0.0	0
G001456935	Monoisolate	Scaffold	4481988	44.54	4466	1275795	83.84814952650476	99.43	3.17	0.0	0
G001457015	Monoisolate	Scaffold	3615064	41.33	3687	1089688	88.79510846834246	99.59	0.0	0.0	0
